,Taxa,w_in_sp_opt,w_in_st_opt,leak_opt
119,Prok_Taxa00152,0.4,1.5,0.4
120,Prok_Taxa00156,0.4,1.5,0.8
121,Prok_Taxa00158,0.4,0.25,0.6
122,Prok_Taxa00160,0.8,0.25,0.0
123,Prok_Taxa00161,0.5,2.0,0.9
124,Prok_Taxa00162,0.4,0.25,0.6
125,Prok_Taxa00163,0.4,1.5,0.6
126,Prok_Taxa00164,0.4,0.5,0.9
127,Prok_Taxa00165,0.5,0.75,0.7
128,Prok_Taxa00166,0.5,0.75,0.2
129,Prok_Taxa00167,0.8,2.0,0.8
130,Prok_Taxa00168,0.5,1.5,0.4
131,Prok_Taxa00169,0.4,2.0,0.9
132,Prok_Taxa00171,0.9,0.75,0.1
133,Prok_Taxa00172,0.6,2.0,0.1
134,Prok_Taxa00174,0.7,0.1,0.2
135,Prok_Taxa00176,0.5,2.0,0.4
136,Prok_Taxa00177,0.6,2.0,0.6
137,Prok_Taxa00178,0.5,0.75,0.9
138,Prok_Taxa00179,0.0,0.75,0.4
139,Prok_Taxa00180,0.6,0.5,0.0
140,Prok_Taxa00181,0.4,1.5,0.7
141,Prok_Taxa00182,0.1,0.5,0.1
142,Prok_Taxa00184,0.5,2.0,0.9
143,Prok_Taxa00185,0.4,0.75,0.0
144,Prok_Taxa00186,0.8,1.0,0.9
145,Prok_Taxa00188,0.0,1.0,0.6
146,Prok_Taxa00189,0.5,1.5,0.1
147,Prok_Taxa00190,0.4,1.0,0.3
148,Prok_Taxa00191,0.5,0.1,0.9
149,Prok_Taxa00193,0.4,0.5,0.8
150,Prok_Taxa00194,0.8,0.5,0.0
151,Prok_Taxa00195,0.5,1.5,0.4
152,Prok_Taxa00196,0.4,1.5,0.9
153,Prok_Taxa00197,0.8,0.75,0.3
154,Prok_Taxa00199,0.4,2.0,0.1
155,Prok_Taxa00201,0.6,0.5,0.0
156,Prok_Taxa00202,0.4,1.0,0.9
157,Prok_Taxa00203,0.4,0.75,0.7
158,Prok_Taxa00206,0.7,0.75,0.4
159,Prok_Taxa00207,0.8,1.5,0.0
160,Prok_Taxa00208,0.0,2.0,0.9
161,Prok_Taxa00209,0.6,1.0,0.0
162,Prok_Taxa00211,0.0,2.0,0.9
163,Prok_Taxa00212,0.3,1.0,0.0
164,Prok_Taxa00213,0.5,1.0,0.9
165,Prok_Taxa00214,0.6,1.5,0.5
166,Prok_Taxa00216,0.5,0.25,0.9
167,Prok_Taxa00217,0.4,1.5,0.0
168,Prok_Taxa00218,0.9,1.5,0.0
169,Prok_Taxa00220,0.9,1.0,0.0
170,Prok_Taxa00221,0.4,2.0,0.0
171,Prok_Taxa00222,0.4,0.75,0.0
172,Prok_Taxa00223,0.5,0.25,0.9
173,Prok_Taxa00225,0.5,1.5,0.9
174,Prok_Taxa00227,0.4,0.5,0.5
175,Prok_Taxa00228,0.0,0.75,0.0
176,Prok_Taxa00229,0.3,0.5,0.4
177,Prok_Taxa00231,0.8,2.0,0.1
178,Prok_Taxa00232,0.5,0.5,0.9
179,Prok_Taxa00234,0.5,1.5,0.9
180,Prok_Taxa00235,0.4,1.0,0.0
181,Prok_Taxa00238,0.4,0.75,0.2
182,Prok_Taxa00239,0.2,1.5,0.0
183,Prok_Taxa00240,0.3,1.0,0.2
184,Prok_Taxa00242,0.7,0.75,0.9
185,Prok_Taxa00243,0.3,0.75,0.0
186,Prok_Taxa00244,0.6,1.0,0.6
187,Prok_Taxa00245,0.8,1.5,0.1
188,Prok_Taxa00247,0.7,0.25,0.1
189,Prok_Taxa00250,0.0,0.25,0.9
190,Prok_Taxa00251,0.3,0.25,0.8
191,Prok_Taxa00252,0.5,0.75,0.0
192,Prok_Taxa00253,0.0,1.0,0.0
193,Prok_Taxa00254,0.9,2.0,0.9
194,Prok_Taxa00255,0.4,2.0,0.3
195,Prok_Taxa00256,0.5,2.0,0.9
196,Prok_Taxa00257,0.5,2.0,0.7
197,Prok_Taxa00258,0.4,1.0,0.8
198,Prok_Taxa00260,0.5,0.5,0.3
199,Prok_Taxa00261,0.0,2.0,0.0
200,Prok_Taxa00262,0.9,2.0,0.1
201,Prok_Taxa00263,0.5,0.75,0.9
202,Prok_Taxa00265,0.5,1.0,0.2
203,Prok_Taxa00266,0.4,1.0,0.9
204,Prok_Taxa00267,0.5,1.0,0.9
205,Prok_Taxa00269,0.2,1.5,0.1
206,Prok_Taxa00272,0.8,2.0,0.0
207,Prok_Taxa00273,0.9,1.5,0.3
208,Prok_Taxa00275,0.4,0.75,0.9
209,Prok_Taxa00276,0.7,0.75,0.1
210,Prok_Taxa00277,0.9,1.5,0.2
211,Prok_Taxa00279,0.4,1.5,0.7
212,Prok_Taxa00280,0.4,2.0,0.9
213,Prok_Taxa00282,0.4,0.5,0.0
214,Prok_Taxa00284,0.6,2.0,0.1
215,Prok_Taxa00285,0.3,0.1,0.1
216,Prok_Taxa00287,0.6,1.0,0.1
217,Prok_Taxa00288,0.9,0.75,0.3
218,Prok_Taxa00289,0.9,2.0,0.0
219,Prok_Taxa00290,0.5,1.0,0.7
220,Prok_Taxa00291,0.3,1.0,0.9
221,Prok_Taxa00292,0.5,0.75,0.9
222,Prok_Taxa00293,0.3,2.0,0.7
223,Prok_Taxa00294,0.5,1.5,0.5
224,Prok_Taxa00296,0.8,2.0,0.0
225,Prok_Taxa00297,0.0,1.0,0.0
226,Prok_Taxa00300,0.7,0.25,0.9
227,Prok_Taxa00301,0.9,2.0,0.0
228,Prok_Taxa00303,0.5,1.5,0.9
229,Prok_Taxa00305,0.0,1.5,0.4
230,Prok_Taxa00307,0.5,0.5,0.9
231,Prok_Taxa00308,0.4,2.0,0.5
232,Prok_Taxa00310,0.8,0.1,0.1
233,Prok_Taxa00311,0.3,2.0,0.9
234,Prok_Taxa00312,0.0,1.5,0.9
235,Prok_Taxa00313,0.0,2.0,0.0
236,Prok_Taxa00314,0.0,2.0,0.9
237,Prok_Taxa00315,0.9,2.0,0.1
238,Prok_Taxa00316,0.5,0.5,0.4
239,Prok_Taxa00317,0.3,2.0,0.4
240,Prok_Taxa00318,0.4,0.75,0.9
241,Prok_Taxa00319,0.2,1.5,0.0
242,Prok_Taxa00321,0.7,1.0,0.9
243,Prok_Taxa00322,0.5,1.0,0.6
244,Prok_Taxa00323,0.0,2.0,0.6
245,Prok_Taxa00324,0.5,1.0,0.9
246,Prok_Taxa00326,0.8,0.25,0.8
247,Prok_Taxa00328,0.5,1.0,0.9
248,Prok_Taxa00329,0.0,0.1,0.8
249,Prok_Taxa00330,0.6,1.5,0.3
250,Prok_Taxa00331,0.6,1.5,0.5
251,Prok_Taxa00332,0.0,1.5,0.9
252,Prok_Taxa00333,0.8,1.5,0.3
253,Prok_Taxa00337,0.5,2.0,0.5
254,Prok_Taxa00338,0.5,0.1,0.0
255,Prok_Taxa00340,0.0,0.5,0.9
256,Prok_Taxa00341,0.5,0.25,0.9
257,Prok_Taxa00343,0.2,0.25,0.0
258,Prok_Taxa00345,0.8,1.0,0.0
259,Prok_Taxa00346,0.0,2.0,0.9
260,Prok_Taxa00349,0.2,2.0,0.0
261,Prok_Taxa00350,0.3,1.0,0.0
262,Prok_Taxa00351,0.6,0.75,0.2
263,Prok_Taxa00352,0.3,2.0,0.0
264,Prok_Taxa00353,0.0,1.0,0.0
265,Prok_Taxa00354,0.3,0.5,0.3
266,Prok_Taxa00355,0.3,0.75,0.0
267,Prok_Taxa00358,0.7,1.5,0.0
268,Prok_Taxa00359,0.3,2.0,0.9
269,Prok_Taxa00360,0.0,1.5,0.1
270,Prok_Taxa00361,0.5,0.75,0.0
271,Prok_Taxa00362,0.8,0.5,0.1
272,Prok_Taxa00364,0.0,1.5,0.9
273,Prok_Taxa00368,0.9,1.0,0.3
274,Prok_Taxa00369,0.0,1.0,0.9
275,Prok_Taxa00370,0.4,2.0,0.8
276,Prok_Taxa00371,0.6,2.0,0.4
277,Prok_Taxa00372,0.4,0.5,0.0
278,Prok_Taxa00373,0.9,1.5,0.0
279,Prok_Taxa00374,0.4,1.5,0.3
280,Prok_Taxa00376,0.6,0.75,0.1
281,Prok_Taxa00377,0.3,1.5,0.4
282,Prok_Taxa00378,0.5,0.75,0.5
283,Prok_Taxa00379,0.4,1.5,0.7
284,Prok_Taxa00380,0.5,2.0,0.1
285,Prok_Taxa00381,0.8,2.0,0.2
286,Prok_Taxa00382,0.1,2.0,0.9
287,Prok_Taxa00383,0.2,1.0,0.4
288,Prok_Taxa00384,0.5,1.5,0.5
289,Prok_Taxa00385,0.5,1.5,0.7
290,Prok_Taxa00386,0.7,0.75,0.1
291,Prok_Taxa00387,0.8,1.5,0.9
292,Prok_Taxa00388,0.8,0.5,0.5
293,Prok_Taxa00390,0.8,2.0,0.7
294,Prok_Taxa00391,0.7,2.0,0.4
295,Prok_Taxa00393,0.4,1.0,0.0
296,Prok_Taxa00394,0.9,1.5,0.1
297,Prok_Taxa00396,0.8,0.75,0.0
298,Prok_Taxa00398,0.4,0.1,0.7
299,Prok_Taxa00399,0.0,2.0,0.9
300,Prok_Taxa00400,0.5,0.1,0.7
301,Prok_Taxa00402,0.4,2.0,0.9
302,Prok_Taxa00403,0.5,0.25,0.9
303,Prok_Taxa00404,0.5,2.0,0.6
304,Prok_Taxa00405,0.5,1.5,0.9
305,Prok_Taxa00406,0.9,2.0,0.0
306,Prok_Taxa00409,0.6,0.5,0.9
307,Prok_Taxa00413,0.6,2.0,0.2
308,Prok_Taxa00414,0.5,1.5,0.4
309,Prok_Taxa00415,0.4,0.75,0.6
310,Prok_Taxa00416,0.8,2.0,0.2
311,Prok_Taxa00417,0.0,0.75,0.9
312,Prok_Taxa00418,0.7,1.0,0.0
313,Prok_Taxa00419,0.7,1.0,0.9
314,Prok_Taxa00421,0.5,0.5,0.2
315,Prok_Taxa00422,0.4,1.0,0.9
316,Prok_Taxa00423,0.8,2.0,0.2
317,Prok_Taxa00424,0.4,1.0,0.9
318,Prok_Taxa00425,0.0,1.5,0.0
319,Prok_Taxa00426,0.9,2.0,0.1
320,Prok_Taxa00427,0.9,2.0,0.0
321,Prok_Taxa00430,0.4,1.5,0.3
322,Prok_Taxa00433,0.0,1.0,0.4
323,Prok_Taxa00434,0.3,1.5,0.7
324,Prok_Taxa00435,0.4,0.75,0.5
325,Prok_Taxa00436,0.2,0.75,0.3
326,Prok_Taxa00437,0.6,2.0,0.0
327,Prok_Taxa00438,0.5,0.25,0.7
328,Prok_Taxa00440,0.5,1.5,0.6
329,Prok_Taxa00441,0.9,0.75,0.0
330,Prok_Taxa00443,0.2,2.0,0.4
331,Prok_Taxa00445,0.8,0.5,0.1
332,Prok_Taxa00447,0.5,2.0,0.9
333,Prok_Taxa00448,0.0,2.0,0.9
334,Prok_Taxa00449,0.6,2.0,0.8
335,Prok_Taxa00450,0.4,2.0,0.8
336,Prok_Taxa00451,0.2,0.5,0.0
337,Prok_Taxa00452,0.4,2.0,0.0
338,Prok_Taxa00454,0.3,1.0,0.1
339,Prok_Taxa00456,0.5,1.5,0.0
340,Prok_Taxa00457,0.2,1.5,0.5
341,Prok_Taxa00460,0.3,2.0,0.9
342,Prok_Taxa00462,0.3,2.0,0.9
343,Prok_Taxa00463,0.3,1.0,0.2
344,Prok_Taxa00465,0.0,1.0,0.0
345,Prok_Taxa00466,0.4,2.0,0.6
346,Prok_Taxa00467,0.6,2.0,0.5
347,Prok_Taxa00469,0.2,2.0,0.9
348,Prok_Taxa00471,0.5,1.5,0.1
349,Prok_Taxa00472,0.6,0.75,0.3
350,Prok_Taxa00473,0.9,2.0,0.0
351,Prok_Taxa00474,0.5,1.5,0.9
352,Prok_Taxa00475,0.3,1.5,0.5
353,Prok_Taxa00476,0.0,1.5,0.9
354,Prok_Taxa00477,0.1,2.0,0.0
355,Prok_Taxa00478,0.0,1.0,0.4
356,Prok_Taxa00479,0.4,0.5,0.9
357,Prok_Taxa00480,0.7,1.0,0.4
358,Prok_Taxa00481,0.0,2.0,0.9
359,Prok_Taxa00485,0.8,1.0,0.3
360,Prok_Taxa00488,0.4,0.5,0.9
361,Prok_Taxa00491,0.5,0.25,0.1
362,Prok_Taxa00493,0.4,1.0,0.3
363,Prok_Taxa00494,0.7,1.0,0.9
364,Prok_Taxa00495,0.5,0.25,0.5
365,Prok_Taxa00496,0.6,1.5,0.5
366,Prok_Taxa00498,0.5,2.0,0.4
367,Prok_Taxa00499,0.0,2.0,0.3
368,Prok_Taxa00500,0.0,2.0,0.9
369,Prok_Taxa00501,0.4,1.5,0.9
370,Prok_Taxa00505,0.6,0.25,0.2
371,Prok_Taxa00506,0.8,2.0,0.0
372,Prok_Taxa00507,0.4,0.75,0.6
373,Prok_Taxa00508,0.5,0.25,0.9
374,Prok_Taxa00509,0.9,1.5,0.2
375,Prok_Taxa00510,0.5,0.5,0.0
376,Prok_Taxa00511,0.4,2.0,0.8
377,Prok_Taxa00514,0.5,0.5,0.9
378,Prok_Taxa00516,0.3,1.0,0.1
379,Prok_Taxa00517,0.5,2.0,0.1
380,Prok_Taxa00518,0.5,1.5,0.9
381,Prok_Taxa00519,0.9,2.0,0.0
382,Prok_Taxa00522,0.8,2.0,0.3
383,Prok_Taxa00524,0.1,1.0,0.0
384,Prok_Taxa00526,0.3,0.75,0.1
385,Prok_Taxa00527,0.1,1.0,0.9
386,Prok_Taxa00528,0.3,2.0,0.9
387,Prok_Taxa00530,0.4,1.0,0.9
388,Prok_Taxa00531,0.4,2.0,0.5
389,Prok_Taxa00533,0.3,2.0,0.2
390,Prok_Taxa00534,0.7,1.0,0.0
391,Prok_Taxa00535,0.5,1.0,0.9
392,Prok_Taxa00536,0.5,2.0,0.9
393,Prok_Taxa00538,0.9,2.0,0.0
394,Prok_Taxa00541,0.0,2.0,0.9
395,Prok_Taxa00543,0.6,2.0,0.6
396,Prok_Taxa00544,0.6,1.5,0.0
397,Prok_Taxa00545,0.4,2.0,0.2
398,Prok_Taxa00547,0.3,1.0,0.2
399,Prok_Taxa00548,0.7,2.0,0.4
400,Prok_Taxa00551,0.8,1.0,0.9
401,Prok_Taxa00553,0.1,2.0,0.9
402,Prok_Taxa00554,0.4,0.75,0.9
403,Prok_Taxa00555,0.7,0.5,0.0
404,Prok_Taxa00556,0.4,0.75,0.4
405,Prok_Taxa00562,0.5,0.5,0.9
406,Prok_Taxa00564,0.9,1.5,0.4
407,Prok_Taxa00566,0.5,0.75,0.6
408,Prok_Taxa00567,0.3,0.25,0.0
409,Prok_Taxa00568,0.4,1.5,0.9
410,Prok_Taxa00569,0.7,1.5,0.3
411,Prok_Taxa00570,0.4,1.5,0.9
412,Prok_Taxa00571,0.6,1.5,0.0
413,Prok_Taxa00573,0.9,2.0,0.0
414,Prok_Taxa00574,0.0,2.0,0.9
415,Prok_Taxa00576,0.3,0.75,0.0
416,Prok_Taxa00577,0.8,0.75,0.8
417,Prok_Taxa00578,0.6,1.0,0.0
418,Prok_Taxa00579,0.7,1.5,0.4
419,Prok_Taxa00580,0.4,1.5,0.0
420,Prok_Taxa00583,0.6,1.5,0.0
421,Prok_Taxa00584,0.5,0.5,0.2
422,Prok_Taxa00585,0.3,2.0,0.9
423,Prok_Taxa00587,0.5,0.25,0.3
424,Prok_Taxa00588,0.5,1.5,0.1
425,Prok_Taxa00591,0.5,1.0,0.1
426,Prok_Taxa00593,0.4,2.0,0.6
427,Prok_Taxa00594,0.0,0.75,0.9
428,Prok_Taxa00598,0.7,2.0,0.5
429,Prok_Taxa00600,0.5,1.0,0.4
430,Prok_Taxa00601,0.5,1.5,0.9
431,Prok_Taxa00602,0.4,2.0,0.9
432,Prok_Taxa00604,0.7,1.0,0.1
433,Prok_Taxa00607,0.0,2.0,0.9
434,Prok_Taxa00608,0.4,1.0,0.3
435,Prok_Taxa00611,0.0,0.1,0.9
436,Prok_Taxa00612,0.5,2.0,0.0
437,Prok_Taxa00613,0.2,0.75,0.0
438,Prok_Taxa00614,0.0,2.0,0.9
439,Prok_Taxa00618,0.5,1.0,0.0
440,Prok_Taxa00620,0.4,0.5,0.6
441,Prok_Taxa00621,0.7,2.0,0.0
442,Prok_Taxa00623,0.3,2.0,0.6
443,Prok_Taxa00627,0.0,2.0,0.9
444,Prok_Taxa00628,0.9,2.0,0.5
445,Prok_Taxa00630,0.3,2.0,0.0
446,Prok_Taxa00631,0.5,1.5,0.9
447,Prok_Taxa00632,0.4,2.0,0.5
448,Prok_Taxa00633,0.2,2.0,0.0
449,Prok_Taxa00634,0.3,2.0,0.8
450,Prok_Taxa00635,0.6,2.0,0.9
451,Prok_Taxa00636,0.5,0.75,0.9
452,Prok_Taxa00639,0.5,2.0,0.0
453,Prok_Taxa00643,0.3,2.0,0.9
454,Prok_Taxa00644,0.4,2.0,0.9
455,Prok_Taxa00645,0.5,1.0,0.0
456,Prok_Taxa00649,0.7,2.0,0.9
457,Prok_Taxa00650,0.9,0.5,0.0
458,Prok_Taxa00654,0.3,2.0,0.4
459,Prok_Taxa00658,0.0,1.0,0.9
460,Prok_Taxa00667,0.2,2.0,0.9
461,Prok_Taxa00669,0.6,2.0,0.3
462,Prok_Taxa00672,0.0,1.5,0.4
463,Prok_Taxa00673,0.0,2.0,0.9
464,Prok_Taxa00676,0.4,0.5,0.3
465,Prok_Taxa00678,0.5,0.25,0.6
466,Prok_Taxa00679,0.4,1.5,0.9
467,Prok_Taxa00681,0.5,2.0,0.3
468,Prok_Taxa00690,0.6,2.0,0.0
469,Prok_Taxa00691,0.3,1.0,0.3
470,Prok_Taxa00692,0.4,1.5,0.9
471,Prok_Taxa00698,0.9,2.0,0.6
472,Prok_Taxa00700,0.0,2.0,0.9
473,Prok_Taxa00702,0.0,2.0,0.9
474,Prok_Taxa00706,0.0,2.0,0.9
475,Prok_Taxa00711,0.4,1.0,0.5
476,Prok_Taxa00714,0.6,1.5,0.0
477,Prok_Taxa00716,0.4,2.0,0.9
478,Prok_Taxa00718,0.1,2.0,0.9
479,Prok_Taxa00721,0.0,2.0,0.9
480,Prok_Taxa00723,0.9,2.0,0.5
481,Prok_Taxa00730,0.5,1.0,0.8
482,Prok_Taxa00731,0.4,0.75,0.0
483,Prok_Taxa00735,0.7,1.5,0.9
484,Prok_Taxa00737,0.4,2.0,0.9
485,Prok_Taxa00742,0.5,1.0,0.1
486,Prok_Taxa00743,0.8,2.0,0.9
487,Prok_Taxa00748,0.7,2.0,0.5
488,Prok_Taxa00750,0.7,2.0,0.0
489,Prok_Taxa00760,0.4,2.0,0.3
490,Prok_Taxa00766,0.9,2.0,0.1
491,Prok_Taxa00767,0.4,2.0,0.7
492,Prok_Taxa00768,0.5,0.1,0.9
493,Prok_Taxa00770,0.0,2.0,0.9
494,Prok_Taxa00814,0.0,2.0,0.6
495,Prok_Taxa00820,0.5,2.0,0.9
496,Prok_Taxa00862,0.9,1.5,0.1
497,Prok_Taxa00901,0.0,2.0,0.9
498,Prok_Taxa00912,0.1,1.5,0.9
499,Prok_Taxa01109,0.9,2.0,0.0
